text,difficulty,intensity,hidden_eligible,weekend_only,cooldown_days,auto_verify,launch_url,variants,notes
Drink 2L of water,E,low,FALSE,FALSE,3,,,,
Stretch or use a massage gun for 10 minutes,E,low,FALSE,FALSE,3,,,,
Write a journal entry,E,low,FALSE,FALSE,3,,obsidian://,The thing that drained me most today|A view I've recently changed|Who surprised me today|What I'd change if I redid today|What I've been avoiding lately,Parameterized prompt
Play with the cat for 10 minutes,E,low,FALSE,FALSE,3,,,,
Read for 20 minutes,E,low,FALSE,FALSE,3,,ibooks://,,
Meditate for 15 minutes,E,low,FALSE,FALSE,3,mindful:15,,,
Enjoy a meal without watching videos,E,low,FALSE,FALSE,3,,,,
Take photos of today's three meals,E,low,FALSE,FALSE,3,,,,
Watch a saved long video all the way through,E,low,FALSE,FALSE,3,,,,
Write down a dream,E,low,FALSE,FALSE,3,,obsidian://,,
Eat a meal slowly and mindfully,E,low,FALSE,FALSE,3,,,,
Sing a song out loud at home,E,low,TRUE,FALSE,3,,,,
Listen to a stand-up comedy clip,E,low,TRUE,FALSE,3,,,,
Soak your feet,E,low,TRUE,FALSE,3,,,,
Watch a sunset,E,low,TRUE,FALSE,3,,,,
Do a face mask,E,low,TRUE,FALSE,3,,,,
Listen to a new album start to finish,E,low,TRUE,FALSE,7,,music://,,
Photograph a set of things in a given color,E,low,TRUE,FALSE,7,,,Red|Blue|Yellow|Green|White|Orange,Parameterized color
Take a photo of the sky,T,low,TRUE,FALSE,3,,,,
Hang up frequently worn clothes,T,low,FALSE,FALSE,3,,,,
Do wrist mobility exercises,T,low,TRUE,FALSE,3,,,,
Look at photos from this day last year,T,low,TRUE,FALSE,3,,,,
Make a cup of tea,T,low,TRUE,FALSE,3,,,,
Stare out the window for five minutes,T,low,TRUE,FALSE,3,,,,
Add a favorite song to a playlist,T,low,TRUE,FALSE,3,,music://,,
Change your phone wallpaper,T,low,TRUE,FALSE,7,,,,
Describe today's mood as a color,T,low,FALSE,FALSE,3,,,,
Apply hand cream,T,low,FALSE,FALSE,3,,,,
Floss,T,low,FALSE,FALSE,3,,,,
Use eye drops,T,low,FALSE,FALSE,3,,,,
Listen to an old song,T,low,TRUE,FALSE,3,,music://,,
Fluff your pillow,T,low,FALSE,FALSE,3,,,,
Trim your nails,T,low,FALSE,FALSE,7,,,,
Apply body lotion,T,low,FALSE,FALSE,3,,,,
Walk by the river,M,medium,FALSE,FALSE,7,calendar_workout:20,,,
Review last week's practice problems,M,low,FALSE,FALSE,7,,,,
Walk around a neighborhood you've never been to,M,medium,TRUE,FALSE,14,,,,
Cook a dish you've never made,M,low,TRUE,FALSE,7,,,,
Mix a new cocktail recipe,M,low,TRUE,FALSE,14,,,,
Dig up an old project and see what you wrote,M,low,TRUE,FALSE,14,,,,
Cook yourself a meal,M,low,FALSE,FALSE,3,,,,
Visit a coffee shop you've never been to,M,low,TRUE,FALSE,14,,,,
Compliment a stranger,M,low,TRUE,FALSE,14,,,,
Browse a supermarket without buying anything,M,low,TRUE,FALSE,14,,,,
Learn a new origami fold,M,low,TRUE,FALSE,14,,,,
Write down a preference of yours that's hardest for others to understand,M,low,FALSE,FALSE,14,,obsidian://,,
Try a food you wouldn't normally eat,M,low,TRUE,FALSE,7,,,,
Thank someone who recently helped you,M,low,FALSE,FALSE,7,,,,
Name three of your strengths,M,low,FALSE,FALSE,14,,,,
Learn about a niche hobby,M,low,TRUE,FALSE,14,,,,
Learn the full backstory of something,M,low,TRUE,FALSE,7,,,A fermented food|A musical instrument|A city's subway history|A material|A mathematical constant,Parameterized topic
Message a friend you haven't talked to in a long time,H,low,FALSE,FALSE,14,,,,
Make a picture with AI,H,low,FALSE,FALSE,7,,,,
Say no to something,H,low,FALSE,FALSE,14,,,,
Speak up with your opinion in the moment,H,low,FALSE,FALSE,14,,,,
Forgive something you've held onto for a long time,H,low,FALSE,FALSE,30,,,,
Finish something you've been putting off,H,low,FALSE,FALSE,7,,,,
Put your phone away and focus deeply for 90 minutes,H,low,FALSE,FALSE,7,,,,
Read a paper and write a summary,H,low,FALSE,FALSE,7,,obsidian://,,
Explain a technical topic from scratch and draft it up,H,low,FALSE,FALSE,14,,obsidian://,,
Video call with parents,H,low,FALSE,TRUE,14,,,,Moved from routines; ~biweekly via cooldown
"Meet a friend in person (meal, coffee, or a walk)",H,low,FALSE,TRUE,14,,,,
Host friends for a home-cooked dinner,H,medium,FALSE,TRUE,30,,,,
Day trip to a town or city you've never been to,H,medium,FALSE,TRUE,30,,,,
Half-day hike or long bike ride,H,high,FALSE,TRUE,14,,,,
See a live show or exhibition (going alone counts),H,low,FALSE,TRUE,14,,,,
Declutter the wardrobe and donate or sell what you don't wear,H,medium,FALSE,TRUE,30,,,,
Sort and back up a year of photos,H,low,FALSE,TRUE,30,,,,
Sign up for an in-person event or class and attend it,H,low,FALSE,TRUE,30,,,,
Get a side project to demo-able state,EPIC,low,FALSE,FALSE,0,,,,
Finish reading a book,EPIC,low,FALSE,FALSE,0,,ibooks://,,
Complete a long-distance cardio session,EPIC,high,FALSE,FALSE,0,calendar_workout:60,,,
Complete a full mock interview,EPIC,low,FALSE,FALSE,0,,,,
Turn a technical topic into a complete write-up,EPIC,low,FALSE,FALSE,0,,obsidian://,,
Complete four workouts in one week,EPIC,high,FALSE,FALSE,0,calendar_workout_weekly:4,,,
